node_1|node_2|edge|chunk_id
conditions et modalités|ouverture des plis| Règles pour|4e47c535816c49dabccf0b3e09f187a0
l'ouverture des plis|évaluation des offres| Suivi par|4e47c535816c49dabccf0b3e09f187a0
conditions et modalités|évaluation des offres| Règles pour|4e47c535816c49dabccf0b3e09f187a0
ouverture et évaluation|plis et offres des concurrents| Traité par|4e47c535816c49dabccf0b3e09f187a0
recours|enchères électroniques inversées|condition ou modalité|37ce3cdcd86c47eba6eb0138679a605c
achat|bons de commande|condition ou modalité|37ce3cdcd86c47eba6eb0138679a605c
dématisation|nantissement des marchés publics|condition ou modalité|37ce3cdcd86c47eba6eb0138679a605c
interopérabilité|systèmes tiers|condition ou modalité|37ce3cdcd86c47eba6eb0138679a605c
dématisation|documents et pièces|condition ou modalité|37ce3cdcd86c47eba6eb0138679a605c
dématisation|étude préalable projets dossiers consultations|modalité|37ce3cdcd86c47eba6eb0138679a605c
tenue et exploitation|base de données prestataires|modalité|37ce3cdcd86c47eba6eb0138679a605c
portail des marchés publics|plateforme nationale dématérialisation procédures passation marché public|définition|37ce3cdcd86c47eba6eb0138679a605c
portail des marchés publics|gestion|relation par的作用|37ce3cdcd86c47eba6eb0138679a605c
gestion|trésorerie générale du royaume|responsabilité|37ce3cdcd86c47eba6eb0138679a605c
acteurs portail des marchés publics|intervenants circuit marchés publics|relation inclus|37ce3cdcd86c47eba6eb0138679a605c
acteurs portail des marchés publics|maître d'œuvre|exemple d'intervenant|37ce3cdcd86c47eba6eb0138679a605c
acteurs portail des marchés publics|concurrent|exemple d'intervenant|37ce3cdcd86c47eba6eb0138679a605c
commission consultation|ouverture plis évaluation offres concurrents|fonction|37ce3cdcd86c47eba6eb0138679a605c
commission consultation|commissions appels d'offres|exemple|37ce3cdcd86c47eba6eb0138679a605c
commission consultation|commissions négociation|exemple|37ce3cdcd86c47eba6eb0138679a605c
commissions d'appels d'offres|commissions de négociation|sont des instances concurrentes|b66e8b36400d412289716bf3ba85eb1a
garanties pécuniaires|concurrent ou titulaire du marché|sont exigées par la législation et la réglementation en vigueur|b66e8b36400d412289716bf3ba85eb1a
cautionnement provisoire|garanties pécuniaires|est une forme de garantie pécuniaire|b66e8b36400d412289716bf3ba85eb1a
attestation de caution personnelle et solidaire|garanties pécuniaires|est une forme de garantie pécuniaire|b66e8b36400d412289716bf3ba85eb1a
cautionnement définitif|garanties pécuniaires|est une forme de garantie pécuniaire|b66e8b36400d412289716bf3ba85eb1a
retenue de garantie|garanties pécuniaires|est une forme de garantie pécuniaire|b66e8b36400d412289716bf3ba85eb1a
cautions personnelles et solidaires|garanties pécuniaires|peuvent remplacer certaines garanties pécuniaires|b66e8b36400d412289716bf3ba85eb1a
caution garantissant le remboursement de l'avance|garanties pécuniaires|est une forme spécifique de garantie pécuniaire pour remboursement d'avances|b66e8b36400d412289716bf3ba85eb1a
organisme agréé|ministre chargé des finances|est autorisé par le ministre à délivrer garanties pécuniaires|b66e8b36400d412289716bf3ba85eb1a
base de données des prestataires|portail des marchés publics|est un système enregistrant les entreprises et prestataires sur le portail|b66e8b36400d412289716bf3ba85eb1a
base de données des prestataires|entrepreneurs, fournisseurs et prestataires de services|consolide les informations de ces acteurs|b66e8b36400d412289716bf3ba85eb1a
portail des marchés publics|système tiers|intègre|439676f6ab8847a79a113627df92911b
acteurs visés|portail des marchés publics|accès moyennant attribution de nom de compte et mot de passe|439676f6ab8847a79a113627df92911b
nom de compte|mot de passe|attribués ensemble|439676f6ab8847a79a113627df92911b
compétiteur|portail des marchés publics|dispose d'espace dans base de données des prestataires|439676f6ab8847a79a113627df92911b
espace du concurrent|informations juridiques, techniques et financières|contient|439676f6ab8847a79a113627df92911b
espace du concurrent|services offerts par portail des marchés publics|offre accès à|439676f6ab8847a79a113627df92911b
acteurs du portail des marchés publics|nom de compte et mot de passe|responsables de l'utilisation|439676f6ab8847a79a113627df92911b
acteurs du portail des marchés publics|informations et documents publiques|responsables de la publication et échange|439676f6ab8847a79a113627df92911b
acteurs du portail des marchés publics|informations associées aux comptes|responsables des mises à jour|439676f6ab8847a79a113627df92911b
gestionnaire du portail des marchés publics|portail des marchés publics|gestion par|ba008464d43944a7a186faa028ff8298
signature électronique|pièces et documents|signature de|ba008464d43944a7a186faa028ff8298
certificat de signature électronique|portail des marchés publics|utilisé par via|ba008464d43944a7a186faa028ff8298
portail des marchés publics|signature électronique|affichage d'état de|ba008464d43944a7a186faa028ff8298
acteur du portail|signature électronique|revérification par|ba008464d43944a7a186faa028ff8298
portail des marchés publics|points de contrôle|accès aux pour vérification|ba008464d43944a7a186faa028ff8298
chapitre ii|gestion du portail des marchés publics|développement du sujet|ba008464d43944a7a186faa028ff8298
article 134|décret n° 2-22-431|mention de dans|ba008464d43944a7a186faa028ff8298
trésorerie générale du royaume|portail des marchés publics|gestionnaire désigné de|ba008464d43944a7a186faa028ff8298
trésorerie générale du royaume|infrastructure technique|hébergeur de l'|ba008464d43944a7a186faa028ff8298
portail des marchés publics|maintenance préventive et évolutive|Services fournis pour maintenir le portail|c2a69e34726b49b89939f291a06072ea
portail des marchés publics|dispositif de création et gestion des comptes|Mise en place du système d'inscription pour acteurs et utilisateurs|c2a69e34726b49b89939f291a06072ea
portail des marchés publics|comptes utilisateurs|Création et gestion des comptes pour différents acteurs|c2a69e34726b49b89939f291a06072ea
portail des marchés publics|veille sur l'utilisation du portail|Surveillance de respect de l'utilisation conformément aux règles|c2a69e34726b49b89939f291a06072ea
portail des marchés publics|sécurité technique et cryptographique|Protéger les données en utilisant techniques de sécurité avancées|c2a69e34726b49b89939f291a06072ea
portail des marchés publics|gestion des certificats électroniques|Mise en œuvre pour usage des maîtres d'œuvre selon les conditions|c2a69e34726b49b89939f291a06072ea
trésorerie générale du royaume|publication de textes législatifs et réglementaires|Responsabilité en tant qu'organisme pour diffusion des documents légaux|c2a69e34726b49b89939f291a06072ea
maître d’ouvrage|publication de documents marchés publics|Chargé de publier les documents relatifs aux marchés sur le portail|c2a69e34726b49b89939f291a06072ea
maître d’ouvrage|programme prévisionnel triennal des marchés|Publication du plan à trois ans des projets et mise à jour|c2a69e34726b49b89939f291a06072ea
maître d’ouvrage|avis de publicité et rectificatifs|Diffusion des annonces et modifications concernant les offres|c2a69e34726b49b89939f291a06072ea
maître d’ouvrage|avis d'appel à manifestation d'intérêt|Publication pour recueillir l'intérêt des entreprises potentielles|c2a69e34726b49b89939f291a06072ea
maître d’ouvrage|avis des enchères électroniques inversées|Transmission des appels à soumissionner en ligne avec processus inversé|c2a69e34726b49b89939f291a06072ea
maître d’ouvrage|dossiers d'appel à la concurrence|Publication et mise à jour des documents pour invitation à tender|c2a69e34726b49b89939f291a06072ea
maître d’ouvrage|procès-verbaux de réunions ou visites lieux|Enregistrement des discussions ou visites sur les sites lors du processus|c2a69e34726b49b89939f291a06072ea
procès-verbaux|réunions|représentent|4e9e2248959845f197dbe4142bf51699
procès-verbaux|visites|représentent|4e9e2248959845f197dbe4142bf51699
extraits|procès-verbaux|proviennent de|4e9e2248959845f197dbe4142bf51699
extraits|séances d'examen|représentent|4e9e2248959845f197dbe4142bf51699
résultats|appels d'offres|relèvent de|4e9e2248959845f197dbe4142bf51699
résultats|marchés négociés|relèvent de|4e9e2248959845f197dbe4142bf51699
résultats|concours|relèvent de|4e9e2248959845f197dbe4142bf51699
synthèses|rapports de contrôle|représentent|4e9e2248959845f197dbe4142bf51699
synthèses|rapports d'audit|représentent|4e9e2248959845f197dbe4142bf51699
conventions et contrats|droit commun|appartiennent à|4e9e2248959845f197dbe4142bf51699
bons de commande|nombre|indiquent le|4e9e2248959845f197dbe4142bf51699
bons de commande|montant global|indiquent le|4e9e2248959845f197dbe4142bf51699
commission nationale de la commande publique|avis émanant d’elle|publication|969f5af03861463c88184a3656df9a1e
administrations habilitées|certificats de qualification et de classification des entreprises|publication des décisions de retrait|969f5af03861463c88184a3656df9a1e
administrations habilitées|certificats d’agrément relatif à la maîtrise d’œuvre|publication des décisions de retrait|969f5af03861463c88184a3656df9a1e
administrations habilitées|autorisation requise pour l'exercice d'une activité|publication des décisions de retrait|969f5af03861463c88184a3656df9a1e
marchés publics attribués|très petites, petites et moyennes entreprises|attribution|969f5af03861463c88184a3656df9a1e
marchés publics attribués|coopératives|attribution|969f5af03861463c88184a3656df9a1e
marchés publics attribués|unions de coopératives|attribution|969f5af03861463c88184a3656df9a1e
marchés publics attribués|auto-entrepreneurs|attribution|969f5af03861463c88184a3656df9a1e
portail des marchés publics|dépôt et retrait des plis et offres|permet|969f5af03861463c88184a3656df9a1e
maître d'œuvre|dossier de consultation pour recueillir leurs observations éventuelles|soumission au portail|969f5af03861463c88184a3656df9a1e
maître d'œuvre|composition et contenu des plis électroniques exigés|définition|969f5af03861463c88184a3656df9a1e
maître d'œuvre|bi-clés de chiffrement|définition conformément aux conditions d'utilisation du portail|969f5af03861463c88184a3656df9a1e
bi-clés de chiffrement|plis électroniques|utilisation pour consultation|51ab05cd185c476db61c2a2573a08b18
portail des marchés publics|bi-clés de chiffrement et déchiffrement|conditions d'utilisation pour gestion|51ab05cd185c476db61c2a2573a08b18
concourants|délai de validité des offres|avertissement pour prorogation selon article 36 du décret n° 2-22-431|51ab05cd185c476db61c2a2573a08b18
portail des marchés publics|résultat de la séance d'ouverture|publication|51ab05cd185c476db61c2a2573a08b18
portail des marchés publics|évaluation des offres|publication|51ab05cd185c476db61c2a2573a08b18
attributaire de l'offre|portail des marchés publics|informatif d'acceptation de l'offre|51ab05cd185c476db61c2a2573a08b18
concourants éliminés|portail des marchés publics|avis de rejet avec motifs de leur éviction|51ab05cd185c476db61c2a2573a08b18
passation des marchés publics|documents ou données|traitement et gestion par le portail|51ab05cd185c476db61c2a2573a08b18
commission de consultation|candidatures et offres électroniques|déchiffrement|51ab05cd185c476db61c2a2573a08b18
commission de consultation|plis des concurrents|ouverture|51ab05cd185c476db61c2a2573a08b18
commission de consultation|évaluation des offres|exécution et gestion|51ab05cd185c476db61c2a2573a08b18
commission de consultation|admissibilité des concurrents|gestion et renseignement des résultats|51ab05cd185c476db61c2a2573a08b18
commission de consultation|concourants|demande d'éclaircissements selon articles 40 et 41 du décret n° 2-22-431|51ab05cd185c476db61c2a2573a08b18
commission de consultation|résultats définitifs|achèvement et établissement|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|offre la plus avantageuse|complétion du dossier administratif|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|rectifications des erreurs matérielles|confirmation et regularization|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|discordances dans le dossier administratif|régularisation|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|prix unitaires principaux|justification des anomalies|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|échantillons ou prototypes|productions requis par le règlement de consultation|3e42d4f390764fad9e1a13d00c35eb5f
commission de consultation|dispositions du décret n° 2-22-431|exécution des missions|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|maître d’ouvrage|demande d'éclaircissements et renseignements|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|plis et offre|dépôt électronique|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|plis déposés|retirage électronique avant séance d’ouverture|3e42d4f390764fad9e1a13d00c35eb5f
concurrent|maître d’ouvrage|suivi de demande de prorogation délai validité offre|3e42d4f390764fad9e1a13d00c35eb5f
décret n° 2-22-431|dispositions réglementaires|règlementation des actions|3e42d4f390764fad9e1a13d00c35eb5f
